filename,width,height,class,xmin,ymin,xmax,ymax
292. diztpxrx4aelcvw.jpg,1000,750,hat,380,18,700,240
319. shutterstock_735101602.jpg,950,460,hat	,320,92,619,291
319. shutterstock_735101602.jpg,950,460,hat	,2,228,313,391
398. obmwfqnqarmpiai.20150915142107.jpg,320,400,hat	,67,7,239,99
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,732,68,1420,438
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,1279,187,1858,560
321. offset_428200.jpg,650,433,hat	,236,127,364,195
614. brad-pitt-600-10.jpg,600,450,hat	,361,19,580,133
297. 0308trumphat11che.jpg,2000,1333,hat	,1427,449,1811,682
270. miller_nyr_ab772325334.jpg,630,445,hat,104,4,342,134
535. offset_428588.jpg,650,434,hat,130,1,375,158
29. axele_b.jpg,1080,1080,hat,141,64,790,453
274. cap-276587.jpg,693,350,hat,167,3,517,232
363. three-people-famous-for-wea-760x450.jpg,760,450,hat	,183,31,433,158
57. real-people-child-wearing-a-red-cap-myjtg0.jpg,676,1020,hat	,210,65,452,225
125. f68d95ca0ad0817c6a2cf1ab948b1b97.jpg,250,346,hat	,7,2,140,75
548. peoplesofallnations3.jpg,1360,760,hat	,117,2,563,188
548. peoplesofallnations3.jpg,1360,760,hat	,866,81,1069,228
205. fypdenimcap1_900x.jpg,900,1350,hat	,64,393,892,1232
273. 86479816.jpg,2289,1527,hat	,426,244,1375,595
355. young-woman-wearing-baseball-cap-outdoors-portrait-upper-half-picture-idsb10061982d-001.jpg,1024,1024,hat,362,207,623,399
599. 2019-02-24t135534z_1406842898_rc17102f6d10_rtrmadp_3_soccer-england-mun-liv.jpg,500,333,hat	,123,2,282,94
18. ryan+gosling+baseball+caps+plain+baseball+1givqr4s5rlx.jpg,666,1000,hat	,206,13,430,161
27. 905161.jpg,540,360,hat	,101,9,439,162
202. tumblr_lr2cmkztcv1qz4xwr.jpg,500,490,hat	,114,7,316,119
404. real-people-caucasian-little-boy-wearing-baseball-cap-head-shoulders-picture-id164195948.jpg,683,1024,hat,246,26,568,265
362. leonardo-dicaprio-hats-a.jpg,400,400,hat,129,19,267,108
173. magahat.jpg,372,209,hat	,61,46,184,180
169. windle-devin.jpg,236,300,hat,30,5,196,111
477. happy-homeless-man.jpg,960,540,hat	,529,2,695,97
212. 1102_bryce_harper.jpg,656,369,hat	,312,1,484,120
723. ndrofpyxpllrvtv.20180601160506.jpg,400,225,hat	,111,4,177,36
383. young-man-wearing-baseball-cap-looking-away-closeup-picture-id200563439-001.jpg,833,1024,hat,211,24,714,410
251. portrait-of-a-young-man-wearing-baseball-cap-and-ear-buds-p502bn.jpg,1300,957,hat,185,1,770,286
329. kids-wearing-hats.jpg,730,486,hat,191,88,360,185
329. kids-wearing-hats.jpg,730,486,hat,377,130,561,231
110. how-to-wear-a-snap-back_600x600_crop_center.jpg,600,600,hat,231,8,377,95
305. article-1260627-0060e9b3000004b0-77_224x532.jpg,224,532,hat	,83,1,174,65
108. young-adult-man-wearing-a-baseball-cap-backwards-with-tattoos-on-his-k2efcy.jpg,1300,956,hat	,378,102,857,352
262. 5bb37f13df82b.cover.jpg,400,216,hat,145,1,210,42
19. depositphotos_11227764-stock-photo-studio-portrait-of-basketball-player.jpg,682,1023,hat,215,91,406,175
205. pd8c6744.jpg,1000,1350,hat	,303,81,701,353
554. ct-spt-mlb-rule-changes-theo-epstein-20190317.jpg,1999,1124,hat,1037,147,1483,436
554. ct-spt-mlb-rule-changes-theo-epstein-20190317.jpg,1999,1124,hat,172,6,718,309
517. 25677c1600000578-2942573-image-a-25_1423240626584.jpg,634,951,hat,116,76,253,143
517. 25677c1600000578-2942573-image-a-25_1423240626584.jpg,634,951,hat,386,99,507,165
26. baseball-caps copy.jpg,547,257,hat	,24,1,327,122
393. rk9811_166_20.jpg,460,460,hat	,68,1,354,122
738. 0a754bb2e5072fcc9abed91105f9e907.jpg,236,288,hat	,69,54,129,82
321. ss2019_del1_popup_2_600x.jpg,425,575,hat	,167,8,270,82
323. 500_f_89692874_hf0ilrw7bivb0xiupzzxuyhkh3qmjz7h.jpg,332,500,hat	,121,53,233,110
410. d145_198_128_1200.jpg,800,1200,hat,245,64,529,251
102. happy-delivery-man-wearing-baseball-cap_13339-110266.jpg,626,939,hat,193,63,378,170
290. carter-navarrete.jpg,804,579,hat,364,19,635,185
341. sm_560_02-1535402971.jpg,380,475,hat	,128,55,271,146
281. jd_product_list?plu=jd_005135_a&qlt=80&w=300&h=300&v=1.jpg,188,277,hat	,39,1,117,54
617. people-women-outdoors-women-women-with-glasses-bicycle-vehicle-smiling-jean-shorts-hands-on-head-baseball-caps-women-with-bikes-spring-vacation-girl-beauty-season-woman-lady-photo-shoot-53590.jpg,1920,1280,hat	,486,85,858,244
535. 96544rm011_chicago_white_16975701.jpg,1000,600,hat	,397,2,796,252
116. ffxon-front_2048x2048.jpg,1501,1501,hat,394,69,1130,481
612. 5208385_032019-ktrk-storyful-maga-hat-vigil-img.jpg,1280,720,hat	,249,41,412,127
612. 5208385_032019-ktrk-storyful-maga-hat-vigil-img.jpg,1280,720,hat	,766,12,1117,162
77. handsome-man-wearing-baseball-cap-handsome-man-wearing-baseball-cap-looking-camera-isolated-white-123877825.jpg,1300,957,hat,451,3,1001,398
106. article-1260627-0060e9b3000004b0-77_224x532.jpg,224,532,hat	,73,1,181,62
760. cut.jpg,770,308,hat	,276,1,500,131
432. braydenthibeault.jpg,254,320,hat	,120,15,203,70
99. d943_206_130_1200.jpg,801,1200,hat,284,141,721,430
87. p8.jpg,1280,1280,hat	,207,558,909,1211
121. tanner_neron___super_portrait.jpg,303,417,hat,58,33,249,145
536. cut.jpg,770,308,hat	,515,6,584,50
536. cut.jpg,770,308,hat	,605,41,700,82
536. cut.jpg,770,308,hat	,393,203,476,264
536. cut.jpg,770,308,hat	,114,148,229,250
536. cut.jpg,770,308,hat	,378,57,431,97
536. cut.jpg,770,308,hat	,99,2,183,63
536. cut.jpg,770,308,hat	,1,86,46,150
386. shona+%26+kids.jpg,1000,1500,hat,410,129,556,237
304. 2015-07-23t18-35-23-366z--1280x720.jpg,1280,720,hat,546,136,729,236
340. image003.jpg,620,350,hat,161,1,420,125
148. storyblocks-young-handsome-man-wearing-baseball-cap-and-red-checkered-shirt_rbqcw1cgq_sb_pm.jpg,1000,667,hat,634,26,802,108
162. mfjiom%20family%20cara%20embroidered%20baseball%20cap%20hat%20white%20blue%20white%20basic%20adjustable%20cap%20family%20people%20culture.jpg,230,230,hat	,16,5,213,158
184. article-2582390-1c59aa4800000578-995_634x954.jpg,634,954,hat,227,7,386,88
244. senior-casual-man-wearing-baseball-hat-stock-image_csp31519364.jpg,300,470,hat,43,3,238,127
248. 7953969_stock-photo-attractive-african-man-in-cap-and-sunglasses-holding-basketball-ball.jpg,400,600,hat,173,13,296,100
216. 170829162120-trump-usa-hats-2-340xa.jpg,340,340,hat,98,31,215,99
124. 5r4i3mag2oszkt3fmndl_zl72ejkfbmt4t8yenimkbvvk0ktmf0xjctabnaljim9.jpg,394,636,hat,81,10,274,138
286. 1553054083305.jpg,710,400,hat	,250,3,471,132
324. main-qimg-c91a98f876de49da1847dced9583ff0d.jpg,600,793,hat	,259,16,356,85
467. donald-trump-redballcap.jpg,450,266,hat	,143,1,303,104
96. https%3a%2f%2fspecials-images.forbesimg.com%2fdam%2fimageserve%2f950509634%2f960x0.jpg%3ffit%3dscale.jpg,600,315,hat	,19,1,334,111
105. v0rpu2adwingsxngs7qxsf0trqgs5az5qayxjv0pm3rsnmgma1hivxkyj03bsyai-.jpg,910,1365,hat	,309,75,716,337
249. brianlemkay_super_portrait.jpg,248,417,hat,20,18,203,129
173. 500_f_180156074_2u5maphvdfapyyvg8h82qt0fitmvojph.jpg,500,334,hat,144,11,240,62
173. 500_f_180156074_2u5maphvdfapyyvg8h82qt0fitmvojph.jpg,500,334,hat,306,110,357,147
313. image.jpg,620,349,hat,250,2,389,102
690. 12163769-640x360.jpg,640,360,hat	,211,4,336,78
3. 572ce2b791058423008c144a-750-563.jpg,750,563,hat	,441,25,669,164
369. people-are-mad-at-gronk-for-making-a-69-joke-with-a-female-reporter.jpg,1024,544,hat	,298,13,800,224
5. ap_341187398470.jpg,770,513,hat,240,15,425,114
678. maxresdefault.jpg,1280,720,hat	,727,1,1145,223
502. facts+hat+01.jpg,750,500,hat	,317,170,527,299
130. snapback-2017-women-men-caps-wearing-distressed.jpg,260,260,hat,76,4,215,90
8. 10402701-1-black?$n_480w$&wid=476.jpg,476,608,hat	,100,8,357,201
371. outerwear_slider_1024x.jpg,1024,455,hat	,580,6,801,129
323. mens-womens-banana-cap-black_690x1170_crop_center.jpg,690,1170,hat	,138,31,555,276
528. usa_today_10127258.0.jpg,1200,800,hat	,753,15,1081,187
28. depositphotos_11227725-stock-photo-studio-portrait-of-basketball-player.jpg,682,1023,hat,328,75,483,180
409. pre-teen-ginger-haired-breton-boy-wearing-baseball-cap-france-fkcka3.jpg,1300,1056,hat,222,90,944,426
352. 35553607001_5219894773001_5219888995001-vs.jpg,1280,720,hat	,266,32,712,325
63. 0747aa0a97ad073f535d15617da197b4.jpg,868,1060,hat,142,34,597,330
247. stock-photo-smart-phone-social-media-using-technology-man-wearing-sunglasses-man-using-smart-phone-man-sitting-on-grass-looking-at-smart-phone-man-wearing-baseball-cap-21cf5bb8-e6b2-4f81-a4a2-0d0b18c15ded.jpg,640,506,hat,210,3,370,93
272. rihanna-style-baseball-cap-4.jpg,683,1024,hat,72,80,299,165
83. 15779862.jpg,1280,720,hat	,436,5,738,143
246. gettyimages-801668448.jpg,1040,694,hat	,223,37,484,157
500. 20215066.jpg,372,237,hat	,126,25,234,86
150. large_thumb_image.jpg,406,228,hat,79,8,174,57
360. 1551758116023.jpg&operation=crop&offset=0x193&resize=3500x1965.jpg,620,348,hat	,71,69,203,170
360. 1551758116023.jpg&operation=crop&offset=0x193&resize=3500x1965.jpg,620,348,hat	,198,63,356,134
764. 220px-boggs.jpg,220,361,hat	,94,9,166,54
6. 614-09017384en_masterfile.jpg,450,299,hat	,70,9,300,113
420. criner.jpg,1024,576,hat	,106,2,565,279
378. gibson%20josh%201976.72_fl_pd-cropped.jpg,1200,628,hat	,483,16,741,168
30. bn-xv124_ontren_p_20180312113739.jpg,749,499,hat	,7,30,209,139
30. bn-xv124_ontren_p_20180312113739.jpg,749,499,hat	,312,28,394,76
30. bn-xv124_ontren_p_20180312113739.jpg,749,499,hat	,576,7,657,57
301. gettyimages-942415758-770x433.jpg,770,433,hat,326,13,446,91
715. gettyimages-518917840.0.jpg,1200,800,hat	,169,90,403,223
715. gettyimages-518917840.0.jpg,1200,800,hat	,446,423,654,553
589. woman-wearing-baseball-cap-11956023.jpg,957,1300,hat,132,9,490,321
15. obamahat.jpg,620,463,hat,155,22,343,134
70. jd_product_list?plu=jd_272077_b&qlt=80&w=300&h=300&v=1.jpg,300,300,hat,96,3,203,80
20. teenage-boy-wearing-baseball-cap-stock-image__u22129465.jpg,300,470,hat,91,109,202,180
187. hockey.jpg,1200,630,hat,34,1,340,196
211. brian+austin+green+wife+megan+fox+keep+their+sikmfw77k2vl.jpg,396,594,hat,172,21,318,144
651. henderson%20rickey%20641.93_fl_nblsauritch.jpg,992,1500,hat	,422,129,695,331
120. man-smiling-wearing-baseball-hat-white-background-33053541.jpg,957,1300,hat,252,29,587,195
252. tp_leafs6167_02.jpg,231,300,hat,60,10,161,65
527. 5c3860b1954bb_klopp630.jpg,630,427,hat	,174,63,378,170
666. usa-golf-the-players-championship_24731323.jpg,3436,2912,hat	,1102,227,2260,869
133. cd6.jpg,305,309,hat	,18,18,227,141
106. glc-claims-kanye-west-is-never-wearing-maga-hats-again.jpg,1500,1000,hat,234,31,936,377
22. image?url=https%3a%2f%2fpeopledotcom.files.wordpress.com%2f2016%2f04%2frihanna-kendall-bella-600x4501.jpg&w=600&c=sc&poi=face&q=85 copy.jpg,189,439,hat	,22,15,172,120
69. 1x1-jt-standing-e1534363146469.jpg,494,828,hat	,134,24,444,179
230. focused_173611086-stock-photo-portrait-woman-wearing-baseball-cap.jpg,433,650,hat,78,70,253,173
84. man-wearing-basketball-jersey-picture-id87792055?s=170667a&w=1007.jpg,337,507,hat,61,11,239,121
616. cut.jpg,750,422,hat	,239,37,502,201
51. baseball-hats-looks.jpg,600,800,hat	,75,11,145,59
51. baseball-hats-looks.jpg,600,800,hat	,260,6,326,50
51. baseball-hats-looks.jpg,600,800,hat	,477,16,539,55
51. baseball-hats-looks.jpg,600,800,hat	,358,351,548,453
51. baseball-hats-looks.jpg,600,800,hat	,31,356,223,474
517. mtntophat.jpg,1305,800,hat	,176,15,846,357
228. sports-store.jpg,480,240,hat,289,32,357,75
20. 331c264f00000578-3536379-image-m-55_1460489385054.jpg,634,442,hat	,176,7,439,187
38. 75491172-funky-people-concept-young-woman-with-chewing-gum-bubble-gum-is-in-the-silver-paper-girl-is-wearing-.jpg,975,1300,hat	,336,52,907,457
775. blue-jays-6-man-rotation-body-image-1470842266.jpg,320,197,hat	,166,2,240,38
34. i?img=%2fmedia%2fmotion%2f2017%2f0403%2fdm_170403_misc_undefeated_capconvo%2fdm_170403_misc_undefeated_capconvo.jpg&w=1150.jpg,1150,647,hat	,740,123,964,246
127. oriental-overalls-model-wearing-a-stock-image__pac22015.jpg,237,239,hat	,89,20,172,71
374. d943_204_553_1200.jpg,1200,800,hat,285,121,612,302
345. pi-mlb-cardinals-chris-carpenter-2-031214.vresize.1024.576.high.92.jpg,1024,576,hat	,324,2,727,192
63. man-people-couple-baseball-cap-ballcap-dating-interaction-78286.jpg,5184,3456,hat	,1564,202,2501,888
63. man-people-couple-baseball-cap-ballcap-dating-interaction-78286.jpg,5184,3456,hat	,2501,279,3569,1070
31. neyohat325.jpg,325,325,hat,34,1,257,126
161. f8149f600af6fe00.jpg,500,312,hat,160,5,347,116
78. 92058404b3e0eafe12750f2f8e7c30c5.jpg,1200,1602,hat	,6,210,1052,1164
28. trucker-hat-mens-street-style.jpg,770,970,hat	,283,19,488,152
442. 1fc2d9373da6f934b755a0bed38cf4a5--baseball-caps-baseball-cap-short-hair.jpg,236,454,hat	,91,10,165,58
300. woman-wearing-black-snapback-cap.jpg,4096,2726,hat	,1751,1004,2308,1561
300. woman-wearing-black-snapback-cap.jpg,4096,2726,hat	,2754,1025,3494,1657
145. 13-leo-forever.jpg,640,640,hat,239,112,404,245
558. phora-press-by-gregorio-2018-billboard-1548.jpg,636,421,hat	,225,1,411,126
53. baseballcaps18-5.jpg,314,524,hat	,82,1,202,63
319. g0qlsyjkfkonpxrdgdys.jpg,800,450,hat	,252,11,505,171
531. damon%20makes%20an%20adjustment%209kyovflnoyzl.jpg,400,594,hat,124,31,334,157
47. 81313scott0106web.jpg,940,627,hat,306,5,573,169
144. gettyimages-923018586.jpg,626,352,hat	,137,3,309,121
768. hi-res-611fb2e89811490ff555a1727ac6219d_crop_exact.jpg,900,600,hat	,188,10,487,197
112. 75986291-portrait-of-handsome-young-man-outside-wearing-baseball-cap-looking-at-camera-head-and-shoulders-sho.jpg,1300,866,hat,518,88,941,295
"80. 321d6df9-65f2-4dcb-b9c1-259bc1d8cf45._sr300,300_.jpg",300,300,hat	,52,41,222,166
173. mens-brown-tweed-celtic-knot-baseball-cap.jpg,220,303,hat	,27,9,108,56
127. 012247-l.jpg,800,522,hat	,345,6,626,178
312. usa_today_10698815.jpg,1200,896,hat	,634,39,1039,305
298. wpid-20150305__150306hockeyfan.jpg,620,432,hat,86,3,369,160
97. 895375e6d0d8f1204502f8e97c6f8942.jpg,236,354,hat,92,55,141,86
142. 1ffcae35b7acb51245106df53f509185_original.jpg,1552,873,hat	,371,3,1094,485
152. 451572.jpg,500,375,hat,107,13,382,151
86. fuck-off-person-baseball-cap.jpg,378,378,hat	,16,56,360,305
218. people-2565722_960_720.jpg,960,720,hat	,484,36,708,317
468. 170822-students-maga-trump-hats-index.jpg,618,410,hat,228,67,323,134
468. 170822-students-maga-trump-hats-index.jpg,618,410,hat,339,14,447,78
294. tpa.jpg,580,375,hat,329,57,430,118
576. 52d572886da8110b02b245a0-750.jpg,660,495,hat	,290,2,480,136
128. baldelli.jpg,4000,2253,hat	,449,62,1605,630
27. fashion-hats-people-think-snapback-caps-unisex-detail-3.jpg,1001,1001,hat	,22,384,524,783
27. fashion-hats-people-think-snapback-caps-unisex-detail-3.jpg,1001,1001,hat	,88,130,569,541
27. fashion-hats-people-think-snapback-caps-unisex-detail-3.jpg,1001,1001,hat	,529,311,1001,766
363. carey_display_image.jpg,274,400,hat	,43,9,231,113
704. 3hsc_louismarch0301_super_portrait.jpg,689,417,hat	,66,1,475,167
522. 614-08487802em-mid-adult-man-wearing-baseball-cap-running-up-sand-dune.jpg,450,299,hat,149,5,256,67
414. samuel-l-jackson-wearing-baseball-cap-picture-id533512596.jpg,730,1024,hat,139,111,566,345
17. leyland12.jpg,310,371,hat	,59,2,236,102
363. 1950s-1960s-granny-wearing-baseball-hat-vintage-images.jpg,712,900,hat,141,106,453,240
255. d9_8_254_1200.jpg,1200,800,hat,237,37,617,256
255. d9_8_254_1200.jpg,1200,800,hat,639,130,1006,302
459. newassetsddm-baseball.jpg,660,416,hat	,281,20,383,80
18. 12.jpg,852,480,hat,268,27,534,191
499. 180808132822-bunn-at-kingsborough-large-169.jpg,460,259,hat	,264,15,372,67
215. aid172122-v4-728px-break-in-a-baseball-cap-step-6.jpg,728,546,hat,101,89,502,225
88. 20h3j9u.jpg,400,400,hat,74,7,356,201
164. man-suit-wearing-baseball-cap-450w-198064211.jpg,450,377,hat,207,56,361,147
268. clkqz2wxiaevxqs.jpg,801,653,hat	,389,86,564,164
73. man-in-the-blue-leather-jacket-sunglasses-baseball-cap-picture-id606019786.jpg,504,529,hat	,35,1,316,170
154. 28country1_span-jumbo-v2.jpg,600,250,hat,17,2,227,106
254. fur-baseball-cap-683x1024.jpg,683,1024,hat	,95,74,561,407
546. pepsi-lede.jpg,1280,720,hat	,1086,118,1280,243
546. pepsi-lede.jpg,1280,720,hat	,696,165,864,268
8. young-woman-wearing-basketball-cap-holding-bottle-of-water-portrait-picture-idsb10061982d-003.jpg,1024,1024,hat,216,65,829,463
58. oh-sports-store-.jpg,664,1000,hat,130,83,534,490
261. 1000x-1.jpg,1000,666,hat	,459,1,779,131
20. tom-selleck-magnum-pi-detroit-tigers-cap.jpg,390,305,hat	,118,8,255,97
175. ted-williams-9532940-1-402.jpg,300,300,hat	,94,31,183,90
241. 500_f_18371636_l6ukzuyabapjcpvh1ljdumflrox6ilqk.jpg,334,500,hat,138,19,265,93
198. wholesale-unisex-style-fashion-hat-tennis-cap-fashion-multicolor-baseball-cap-whs-92.jpg,640,373,hat	,242,34,363,99
428. offset_438859.jpg,650,433,hat,194,117,338,196
140. 20161115_111937-e1479228515837.jpg,1000,1080,hat	,133,61,753,352
